id;mots_clefs;reponse;poids
1;source;wallah;10
2;source;tkt frère;10
3;source;Volvic;5
4;source,blague;jte jure;10
5;source;Confidentiel;10
6;faux,fake,mytho;ta gueule c vrai;1
7;faux,fake,mytho;Toutes les fake news publiées sur notre compte sont vérifiables;10
8;source;Toutes nos informations sont sourcées;10
9;source,faux,fake,mytho;wallah c vrai;10
10;vrai;C’est certifié;10
11;faux,fake,mytho;tg;1
12;faux,fake,mytho;Toutes nos informations sont potentiellement vraies;10
13;vrai;C’est sourcé;10
14;blague;Non c’est vrai;10
15;blague;Wallah c’est pas une blague;5
16;blague,fake,faux,mytho;wallah jte jure c pas des blagues;5
17;bot;mdr non je suis pas un bot ta vu sa ou;1
18;bot;Je ne suis pas un bot.;5
19;bot;Merci mais j’ai une conscience.;5
20;vrai;Je confirme.;10
21;bot;Je ne suis pas un bot. Merci de ne pas proférer de telles accusations.;5
22;fake,faux,mytho;Je porte plainte pour diffamation et incitation à la haine.;1
23;si seulement;i wish;10
24;si seulement;god i wish;10
25;si seulement;j'avoue;10
